Id;País;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;Quantidade;Valor
53;Gana;0;0;18168;25642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9000;13502;7673;10010;18810;22027;12578;19196;66229;90377
54;Gibraltar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;93;769;2860;0;0;792;2953
55;Grécia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232;730;561;1994;6859;18092;908;3014;8560;23830
56;Guatemala;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1597;8719;0;0;17347;29100;18964;37839
57;Guiana;0;0;0;0;0;0;783;3654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;424;1311;990;2577;2372;6525;4569;14067
58;Guiana Francesa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;32;90;32
59;Guine Bissau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;90;0;0;0;0;0;0;0;0;48;90
60;Guine Equatorial;0;0;548;1417;169;272;410;1015;956;1979;819;2530;1108;5336;5646;11983;0;0;0;0;2639;30563;8389;26808;0;0;0;0;0;0;20684;81903
61;Haiti;0;0;20;20;4500;5863;2700;3750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79500;144425;81873;129803;399128;471152;670379;831181;1238100;1586194
62;Honduras;0;0;162;580;14;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176;610
63;Hong Kong;0;0;2430;13460;50319;27188;0;0;2063;7975;1609;7653;16013;61224;18130;63534;1229;7837;6975;86199;1934;8180;1742;9029;9651;42020;15159;41987;12507;39390;139761;415676
